label,text
ham,Go until jurong point horrible way to go spend next
ham,Ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts
spam,FreeMsg Hey there darling it's been a while and I haven't heard from you
ham,Our Beech Tree should be stepping up in the future with a new taller ladder
ham,U can call me on 02476633824 or on 02211277655 we have time
spam,You are awarded one free message only valid for 1 week
ham,Welcome to Virgin Mobile take the best deals for free
spam,Winner As a valued network customer you have been selected to receivea 4 * AirBorne not to mention all Top up deals is 100 percent free
ham,Please send me details about the universe s commonalities with history in exactly the same way you should be talking to me
spam,But when you have established yourself dont reach the point of being overly accepting to things that dont deserve your attention
ham,I'm not bothering you I hope it's ok to contact you
spam,This is the 2nd time we have tried 2 contact u u have also old password issue please try to reset the password by going thru forget password option if u r still not able to access plz send us ya user id and we will reset password
ham,Tell me about the next md office
spam,To get money for your self now u hav to pay just 10k for credit which u can give back n do a deal
ham,Hi this is karan from new delhi referring your resume for the accounts executive position we are looking for a person who is hard working and willing to work on weekends as well
ham,So ur saying I can eat my burger for free
ham,Lets plan to get the very first night of the brand new year in out
ham,Just forced myself to eat a slice it was actualy alright
spam,URGENT You have a secret admirer who is looking for you Click here to find out who
spam,This is a Trial message from SMS ALERT we will not send you any more requests so you will NOT be charged for this message Thank you for your Business
spam,Hi dear its mich. how r u doing today im fine as usually thankyou so much of caring
spam,Free Msg Txt STOP to opt out
ham,Yeah I almost forgot how to use the phone
spam,Hi this is John how are you today
ham,I miss my family
spam,Urgent call on 0207946412 Reference 45J475
ham,Have you heard about the new place that opened on the market street
spam,You have WON a guaranteed £1000 cash or a £2000 prize. Claim NOW
spam,Go to our website and fill out the online survey worth £50 vouchers
ham,Will be there by 8
spam,I am very happy to be joining you tonight
spam,This is to notify you that you won in the UKLotto lottery with reference number 3890124
ham,Let us know if you can meet
ham,Thanks again mate
spam,We are glad to announce that you have been selected as one of our VIP members
ham,Let me know if you can
spam,Hello is this the pizza delivery service
ham,I need to stop using this
spam,You have successfully received a claim of £950 your prize
spam,Your one free message is ready to retrieve now. Go to your main menu to retrieve this
ham,Tell me later ok
spam,Text STOP to 1234567 to stop using SMS
